"","id","is_male","repaid","curr_test","new_test_1","new_test_2"
"1",1,0,1,1,1,1
"2",2,1,1,0,1,1
"3",3,1,1,1,1,1
"4",4,0,1,1,1,1
"5",5,1,1,1,1,1
"6",6,0,0,0,0,0
"7",7,1,0,0,0,0
"8",8,1,1,1,1,1
"9",9,0,1,1,1,1
"10",10,1,1,1,1,1
"11",11,1,1,0,1,1
"12",12,0,1,1,1,1
"13",13,1,1,1,1,1
"14",14,0,1,0,1,1
"15",15,0,1,0,1,1
"16",16,1,1,1,1,1
"17",17,0,1,1,1,0
"18",18,0,1,1,0,1
"19",19,1,1,1,1,1
"20",20,0,1,1,1,1
"21",21,1,1,0,1,1
"22",22,1,1,1,1,1
"23",23,1,1,1,1,1
"24",24,1,1,1,1,1
"25",25,0,1,0,0,1
"26",26,1,1,0,1,1
"27",27,1,1,1,1,1
"28",28,0,1,0,1,1
"29",29,1,1,1,1,1
"30",30,1,1,1,1,1
"31",31,1,1,0,1,1
"32",32,0,1,1,1,1
"33",33,1,0,0,0,0
"34",34,1,0,0,0,0
"35",35,1,0,0,0,0
"36",36,0,1,1,1,0
"37",37,0,1,1,1,0
"38",38,1,1,1,1,1
"39",39,1,0,0,0,0
"40",40,1,0,0,0,0
"41",41,0,1,1,1,0
"42",42,0,1,1,1,1
"43",43,1,1,1,1,1
"44",44,0,1,1,1,1
"45",45,1,1,1,1,1
"46",46,0,1,0,1,0
"47",47,1,0,0,0,0
"48",48,0,1,0,1,0
"49",49,0,1,1,1,1
"50",50,0,1,1,1,1
"51",51,0,1,0,1,1
"52",52,0,1,1,1,1
"53",53,1,0,0,0,0
"54",54,1,1,1,1,1
"55",55,0,1,1,1,1
"56",56,0,1,1,1,1
"57",57,0,1,1,1,1
"58",58,1,0,0,0,0
"59",59,0,1,1,1,0
"60",60,1,1,1,1,1
"61",61,0,1,1,1,1
"62",62,1,1,1,0,1
"63",63,0,1,1,1,1
"64",64,0,0,0,1,0
"65",65,0,1,1,1,1
"66",66,1,1,1,0,1
"67",67,1,0,0,1,0
"68",68,0,1,0,1,1
"69",69,0,1,1,1,1
"70",70,0,1,1,1,1
"71",71,1,1,0,0,1
"72",72,0,1,1,0,1
"73",73,0,1,1,1,1
"74",74,0,0,0,0,0
"75",75,0,1,1,1,1
"76",76,1,1,0,1,1
"77",77,1,1,1,1,1
"78",78,0,1,1,1,1
"79",79,0,1,1,1,1
"80",80,0,1,1,1,1
"81",81,1,0,0,1,0
"82",82,0,1,0,1,1
"83",83,0,1,0,1,1
"84",84,0,1,1,1,1
"85",85,0,1,1,1,1
"86",86,1,1,1,1,1
"87",87,1,1,1,1,1
"88",88,1,1,1,1,1
"89",89,1,1,1,1,1
"90",90,0,0,0,1,0
"91",91,0,1,1,1,1
"92",92,1,1,0,1,1
"93",93,0,1,0,1,1
"94",94,0,1,1,0,1
"95",95,0,1,1,1,1
"96",96,0,1,0,1,1
"97",97,0,1,1,1,1
"98",98,0,1,1,1,1
"99",99,1,1,0,1,1
"100",100,0,1,1,1,0
"101",101,1,0,0,0,0
"102",102,1,0,0,0,0
"103",103,0,0,0,0,0
"104",104,1,1,1,1,1
"105",105,1,1,0,1,1
"106",106,1,0,0,0,0
"107",107,1,1,1,1,1
"108",108,0,1,1,0,0
"109",109,0,1,1,1,0
"110",110,0,1,1,1,1
