"","id","is_male","repaid","curr_test","new_test_1","new_test_2"
"1",1,0,1,0,0,1
"2",2,0,1,1,1,1
"3",3,1,1,1,0,1
"4",4,0,1,1,1,1
"5",5,1,1,1,1,1
"6",6,1,0,0,1,0
"7",7,0,1,1,1,1
"8",8,1,1,1,1,1
"9",9,1,0,0,0,0
"10",10,0,1,1,1,1
"11",11,0,1,1,1,1
"12",12,1,0,1,0,0
"13",13,0,1,1,1,1
"14",14,0,0,0,0,0
"15",15,0,1,1,1,0
"16",16,0,1,1,0,1
"17",17,0,1,1,1,1
"18",18,0,1,0,1,1
"19",19,1,1,1,1,0
"20",20,0,1,1,1,1
"21",21,1,1,1,1,1
"22",22,1,1,1,1,1
"23",23,1,1,1,1,1
"24",24,1,1,1,1,1
"25",25,0,1,1,1,1
"26",26,1,1,1,1,1
"27",27,0,1,1,1,1
"28",28,1,1,1,1,1
"29",29,0,1,1,1,1
"30",30,1,1,1,0,0
"31",31,1,1,1,1,1
"32",32,0,1,1,1,1
"33",33,1,1,1,1,1
"34",34,0,1,1,1,1
"35",35,0,0,0,0,0
"36",36,1,1,1,0,1
"37",37,0,1,1,1,1
"38",38,0,1,1,1,1
"39",39,1,0,0,0,0
"40",40,1,0,0,1,0
"41",41,0,1,1,1,1
"42",42,0,1,1,0,1
"43",43,1,1,1,0,1
"44",44,0,1,1,1,1
"45",45,1,1,1,0,1
"46",46,1,1,0,1,1
"47",47,0,1,0,1,1
"48",48,0,1,1,1,1
"49",49,1,1,1,1,1
"50",50,1,1,1,1,1
"51",51,0,1,0,1,1
"52",52,1,0,0,1,1
"53",53,0,1,1,1,1
"54",54,0,1,1,1,1
"55",55,1,1,1,1,1
"56",56,1,0,0,0,0
"57",57,0,1,1,1,1
"58",58,0,1,1,1,1
"59",59,1,1,0,1,1
"60",60,1,0,0,0,0
"61",61,1,1,1,1,1
"62",62,0,1,0,1,1
"63",63,0,1,1,1,1
"64",64,0,1,1,1,1
"65",65,1,0,0,0,0
"66",66,1,1,1,1,1
"67",67,0,1,1,1,1
"68",68,0,1,1,1,0
"69",69,0,1,1,1,1
"70",70,0,1,1,1,1
"71",71,1,1,1,1,1
"72",72,0,1,1,1,1
"73",73,1,1,1,1,1
"74",74,1,1,1,1,1
"75",75,0,1,0,1,1
"76",76,0,1,0,1,1
"77",77,1,0,0,0,0
"78",78,1,1,1,0,1
"79",79,1,1,1,1,1
"80",80,0,1,0,1,1
"81",81,0,1,1,1,1
"82",82,1,1,1,1,1
"83",83,1,1,1,1,1
"84",84,0,1,1,1,0
"85",85,0,1,1,1,1
"86",86,1,1,1,1,1
"87",87,1,1,1,1,1
"88",88,1,0,0,0,0
"89",89,1,0,1,0,0
"90",90,0,1,1,1,1
"91",91,0,1,0,1,1
"92",92,0,1,0,1,1
"93",93,0,1,0,1,1
"94",94,0,0,1,0,0
"95",95,0,1,0,1,1
"96",96,0,0,0,0,0
"97",97,1,0,0,0,0
