"","id","is_male","repaid","curr_test","new_test_1","new_test_2"
"1",1,1,1,1,1,1
"2",2,0,1,1,1,1
"3",3,1,1,1,1,1
"4",4,1,1,1,1,0
"5",5,1,0,1,0,0
"6",6,1,0,0,0,0
"7",7,1,0,0,0,0
"8",8,1,1,1,1,1
"9",9,0,1,1,1,1
"10",10,0,1,0,1,1
"11",11,0,1,1,1,1
"12",12,0,1,1,1,1
"13",13,0,1,1,1,1
"14",14,0,0,0,0,0
"15",15,1,0,0,0,0
"16",16,1,1,0,1,1
"17",17,0,0,0,0,0
"18",18,0,1,1,1,1
"19",19,0,1,1,1,0
"20",20,1,1,0,1,1
"21",21,1,1,1,1,1
"22",22,0,0,0,0,0
"23",23,1,1,1,1,1
"24",24,0,1,1,0,1
"25",25,1,0,0,0,0
"26",26,0,0,0,0,0
"27",27,1,1,1,1,1
"28",28,0,0,0,1,0
"29",29,0,1,1,1,1
"30",30,0,1,0,1,1
"31",31,0,1,0,1,0
"32",32,0,1,0,1,0
"33",33,0,1,1,1,1
"34",34,1,1,1,1,1
"35",35,0,1,0,1,1
"36",36,0,1,0,1,1
"37",37,1,1,1,1,1
"38",38,0,1,0,1,1
"39",39,1,0,1,0,0
"40",40,0,1,0,1,0
"41",41,0,1,0,1,1
"42",42,1,1,0,1,1
"43",43,0,1,1,1,1
"44",44,1,1,0,1,1
"45",45,0,1,0,1,1
"46",46,1,1,1,1,1
"47",47,0,1,0,1,1
"48",48,1,1,1,1,1
"49",49,0,1,1,1,1
"50",50,0,1,1,1,1
"51",51,1,0,0,0,0
"52",52,1,1,1,1,1
"53",53,0,1,1,1,1
"54",54,0,1,1,1,1
"55",55,0,1,1,1,0
"56",56,1,1,1,1,1
"57",57,0,1,0,1,1
"58",58,1,1,0,1,1
"59",59,0,1,0,1,1
"60",60,1,1,0,1,1
"61",61,0,1,1,1,1
"62",62,1,0,0,0,0
"63",63,0,1,1,1,1
"64",64,1,0,0,0,0
"65",65,0,1,1,0,1
"66",66,0,1,1,1,1
"67",67,1,1,1,1,1
"68",68,0,0,0,1,0
"69",69,0,1,0,1,0
"70",70,1,0,1,0,0
"71",71,0,1,0,1,1
"72",72,0,1,1,1,1
"73",73,0,0,0,0,0
"74",74,0,1,1,1,0
"75",75,0,1,1,1,1
"76",76,0,1,1,1,1
"77",77,1,1,1,1,1
"78",78,1,0,0,0,0
"79",79,0,1,1,1,1
"80",80,0,1,1,1,1
"81",81,0,1,1,1,0
"82",82,0,1,1,1,1
"83",83,0,0,0,0,0
"84",84,1,1,1,0,1
"85",85,0,1,1,1,1
"86",86,1,0,0,0,0
"87",87,1,1,1,1,1
"88",88,0,1,1,1,1
"89",89,1,0,0,0,0
"90",90,1,0,0,0,0
"91",91,0,1,1,1,1
"92",92,0,1,1,1,1
"93",93,0,1,0,1,1
"94",94,1,1,1,1,1
"95",95,0,1,1,1,1
"96",96,0,1,0,0,1
"97",97,0,1,1,1,1
"98",98,0,1,1,1,0
"99",99,1,1,1,1,1
"100",100,1,1,1,1,1
"101",101,1,1,1,1,1
"102",102,1,1,0,1,1
"103",103,0,1,1,1,1
"104",104,1,0,0,0,0
"105",105,0,1,1,1,1
"106",106,1,1,1,1,1
"107",107,1,0,0,0,0
"108",108,0,1,0,1,1
"109",109,1,1,1,1,1
"110",110,0,1,0,1,1
"111",111,1,1,0,1,1
"112",112,1,1,0,1,1
"113",113,1,0,0,0,0
"114",114,0,1,1,1,0
"115",115,1,1,1,1,1
"116",116,0,1,1,1,1
"117",117,1,1,1,1,1
"118",118,0,1,0,1,1
"119",119,1,1,1,1,1
"120",120,0,1,0,1,1
"121",121,1,0,0,0,0
